일시,평균기온(℃),평균풍속(m/s),평균습도(%rh),평균일강수량(mm),일사합,최대전력(MW),요일,전력사용량(kwh),코스피,공휴일/국경일,평일/주말,미세먼지,최저기온(℃),최고기온(℃),평균 현지기압(hPa),평균지면온도(℃),합계 소형증발량(mm),전력,소비계수,평균전력사용량
 2012-01-01,-0.3,2.6,65,0.4,4.95,58124,일,15.3186389,2092.09,1,1,74,-6.9,0.4,1013.8,-1.9,1.2,13.62554093,1000,15.3186389
 2012-01-02,-2.8,1.9,63,0,8.21,69015,월,15.3186389,1826.37,0,0,89,-8.3,-1.2,1015.7,-4.1,1.3,16.1786303,1000,15.3186389
 2012-01-03,-1.9,2.3,66,0.7,6.13,71631,화,15.3186389,1875.41,0,0,84,-6.8,-0.2,1011,-3.5,0.6,16.7918781,1000,15.3186389
 2012-01-04,-4,3.3,59,0.8,8.22,72865,수,15.3186389,1866.22,0,0,61,-9.6,-4.3,1015.1,-4.5,1,17.08115478,1000,15.3186389
 2012-01-05,-4.1,2.2,57,0,10.51,72199,목,15.3186389,1863.74,0,0,44,-9.8,-1.3,1018.5,-5.2,1.5,16.92502976,1000,15.3186389
 2012-01-06,-2.6,1.8,56,0,9.41,72552,금,15.3186389,1843.14,0,0,53,-5.6,1.3,1020.4,-2.1,1.8,17.00778071,1000,15.3186389
 2012-01-07,-3.3,1.3,57,0,10.68,64570,토,15.3186389,2092.09,0,1,80,-8,2,1024.1,-4,2.1,15.13662477,1000,15.3186389
 2012-01-08,-1.9,1.6,55,0,8.35,61089,일,15.3186389,2092.09,0,1,75,-5.5,0.4,1021.1,-3.2,1,14.32060199,1000,15.3186389
 2012-01-09,0.1,1.8,62,0,7.06,71646,월,15.3186389,1826.49,0,0,107,-1.8,2.7,1019.1,-0.4,1.1,16.79539443,1000,15.3186389
 2012-01-10,0,2.1,53,0,9.24,71620,화,15.3186389,1853.22,0,0,81,-5.8,1.5,1017.2,-2.2,1.6,16.78929946,1000,15.3186389
 2012-01-11,-3,3,46,0,10.08,72453,수,15.3186389,1845.55,0,0,52,-8.1,-3.3,1020.2,-4.2,1.4,16.98457294,1000,15.3186389
 2012-01-12,-3.4,2.2,56,0,9.53,71980,목,15.3186389,1864.57,0,0,50,-10.3,-0.4,1017.8,-4,1.2,16.87369136,1000,15.3186389
 2012-01-13,-0.2,2,60,0,7.44,71893,금,15.3186389,1875.68,0,0,60,-4.1,2.6,1013.7,-1.1,1.7,16.85329665,1000,15.3186389
 2012-01-14,-1,1.9,45,0,11.02,63746,토,15.3186389,2092.09,0,1,41,-6.3,2.7,1013.6,-2.5,3.1,14.94346109,1000,15.3186389
 2012-01-15,-0.6,1.5,50,0,7.39,60377,일,15.3186389,2092.09,0,1,42,-4.7,0.3,1011.4,-1.9,2.1,14.15369357,1000,15.3186389
 2012-01-16,1.2,1.5,63,2,7.71,71422,월,15.3186389,1859.27,0,0,50,-5.1,7.8,1008.9,-1.2,3.5,16.74288391,1000,15.3186389
 2012-01-17,2.8,1.1,75,0.2,6.77,69998,화,15.3186389,1892.74,0,0,54,0,8.2,1010,1.4,1.7,16.40906707,1000,15.3186389
 2012-01-18,2.4,1.4,72,0.4,6.83,69874,수,15.3186389,1892.39,0,0,111,-2.2,5.4,1012.3,-0.3,2.1,16.37999875,1000,15.3186389
 2012-01-19,4.8,2.2,81,5.9,3.41,69189,목,15.3186389,1914.97,0,0,60,1.4,8.4,1012.1,2,1.2,16.21941972,1000,15.3186389
 2012-01-20,5.9,2.6,72,1.4,4.35,66299,금,15.3186389,1949.89,0,0,23,3.7,8.3,1012.5,3,2.5,15.54194031,1000,15.3186389
 2012-01-21,3.8,1.9,79,1.5,4.41,58618,토,15.3186389,2092.09,0,1,44,-2.6,5.7,1011.1,2.1,3.5,13.74134537,1000,15.3186389
 2012-01-22,-1.7,3.8,48,0,11.09,54550,일,15.3186389,2092.09,1,1,50,-11.6,-2.4,1014.3,-2.7,2.3,12.78771692,1000,15.3186389
